	Alv_Gen_Intermediate_Ctrl	Alv_Cap_Ctrl	Gen_Cap_Ctrl	Activated_Alv_Cap_Ctrl	Activated_Gen_Cap_Ctrl	Gen_Cap_LPS	Alv_Gen_Intermediate_LPS	Alv_Cap_LPS	Activated_Gen_Cap_LPS	Activated_Alv_Cap_LPS	Alv_Cap_Combo	Activated_Alv_Cap_Combo	Gen_Cap_Combo	Activated_Gen_Cap_Combo	Alv_Gen_Intermediate_Combo
MCMBP	3.9394	4.3209	4.1541	3.7494	3.0257	3.9932	3.8642	4.124	4.1533	3.7597	4.043	4.1907	4.094	3.8248	4.1917
SEC23IP	5.8878	5.8244	6.0093	6.0656	5.6726	5.738	5.8171	5.7781	5.7563	5.6951	5.7222	5.7708	6.1371	6.2646	5.88
WDR11	5.4253	5.1956	5.6062	5.7015	4.4874	5.344	5.2803	5.0426	5.2916	5.1998	4.9985	5.0487	5.4253	5.2948	5.2255
FGFR2	0.88257	1.6166	1.2632	0	0	0.62547	0	0	0	1.1728	1.8756	1.3301	1.7544	0	0.95138
ATE1	5.893	5.8375	5.9	6.2181	5.6726	5.891	6.0807	5.7781	5.1897	5.5286	5.8026	5.8181	5.9954	5.7294	5.925
NSMCE4A	5.5986	5.708	5.6355	5.3951	4.4874	5.7453	5.9938	5.4864	5.7965	5.5673	5.8254	6.0664	5.6864	6.0077	5.7231
TACC2	3.6554	4.2245	3.2482	4.1029	3.9343	3.1488	3.4818	3.686	3.3449	3.825	4.4478	4.0658	3.5856	3.0918	4.1917
PLEKHA1	8.2672	7.9895	8.1491	7.9584	7.9301	7.7651	7.7682	7.8352	7.7465	7.8012	7.2078	7.1448	7.5545	7.5634	7.4524
ENSMMUG00000009117	5.9775	5.9321	6.5457	6.0656	6.0289	5.9428	5.4762	4.124	4.8319	3.9474	4.6759	4.4324	5.9583	5.7294	5.1517
C10orf88	4.4092	4.1425	4.3222	4.1029	3.0257	4.1111	4.0231	4.3984	4.122	3.8875	4.0115	4.3914	4.2656	4.5593	3.9517
ENSMMUG00000041417	3.5293	3.6873	3.2329	3.7494	0	1.9945	2.8512	1.4989	2.149	2.252	2.8179	2.3894	2.9429	1.5268	2.503
ENSMMUG00000046340	1.3082	1.1126	1.1377	0	0	1.0603	0.64627	0	0.46642	0	1.2773	0.38164	1.0559	1.5268	1.5198
PSTK	2.9928	2.5626	2.5112	2.58	0	2.8011	2.7336	1.9028	1.7181	2.252	2.7431	2.6201	2.2559	2.5891	2.8215
IKZF5	4.912	5.1854	4.9216	4.6237	5.1985	5.1482	5.401	4.9174	4.711	4.5596	4.8101	5.0355	4.7435	5.0437	4.8586
ACADSB	3.4198	3.7852	3.7118	4.5489	0	3.4288	3.553	3.3407	2.7496	3.6913	3.8955	3.6447	3.5856	3.4639	3.4335
ENSMMUG00000003092	6.6304	6.4325	6.4954	6.4412	6.936	6.7574	6.7523	6.6116	6.8941	6.775	6.27	6.3389	6.4176	6.7413	6.6025
CHST15	5.6297	4.01	6.315	4.2981	6.4384	7.9073	7.8447	6.3782	6.2872	5.5089	5.2952	5.5922	7.7098	7.2729	7.1258
OAT	3.2383	3.9984	3.2019	4.4701	3.9343	2.9605	2.8512	3.3407	2.7496	2.9818	4.1625	3.5359	3.3767	2.7321	4.0362
LHPP	3.0673	2.9954	3.6442	3.0822	3.9343	3.6319	3.4818	3.2045	3.0447	3.2901	2.8179	3.1495	3.3464	3.3795	3.7157
FAM53B	5.3749	5.3406	5.3186	5.3518	4.8863	4.241	4.6929	4.5746	3.11	3.0921	5.2886	5.6542	5.3886	5.6048	5.1517
ENSMMUG00000015217	2.3836	2.323	2.2019	2.58	0	1.2368	1.091	1.4989	2.0191	1.8111	2.0716	2.3036	1.7998	1.8109	1.2634
ABRAXAS2	4.8605	4.8399	4.7605	4.7625	5.4549	4.2202	4.4535	4.4595	4.3818	4.7732	4.8462	4.7409	4.6474	4.4394	4.7626
ZRANB1	5.0833	4.9525	5.0138	5.1132	5.1985	4.9723	5.2377	4.5746	5.2488	5.1998	5.2075	5.199	5.079	5.2948	4.9486
CTBP2	7.3616	7.1409	7.4207	7.1715	6.6584	7.1781	7.2143	6.936	6.7885	6.552	7.1637	6.9358	7.354	7.1509	7.0311
C10orf137	4.6942	4.7936	4.8878	4.3867	4.4874	4.772	4.6929	4.5182	4.3003	4.3973	4.9244	4.9673	4.866	4.2621	5.0126
UROS	4.5843	4.6377	4.7817	4.9485	4.4874	4.6369	4.6929	4.8732	4.3551	4.1134	4.8192	4.7245	4.7377	4.869	4.8114
BCCIP	5.6419	5.6387	5.8682	6.0922	4.8863	5.4464	5.6807	5.6263	5.6832	5.6775	5.502	5.9154	5.8545	5.7631	5.4578
DHX32	4.6219	4.6151	4.7391	4.4701	4.4874	4.8143	4.8706	4.6288	4.2721	3.8875	4.5167	4.4324	4.7836	4.5972	4.549
DOCK1	7.1486	7.0068	7.3023	7.0548	7.0952	6.8854	6.6259	6.8358	7.0225	6.909	6.6509	6.985	7.3387	7.1316	6.984
PTPRE	1.4262	1.4896	2.8076	0	3.0257	2.3421	2.8512	2.4765	1.101	0	0.9183	0.93242	2.4393	1.8109	1.5198
MKI67	2.9142	2.3956	3.5113	2.8529	0	3.5673	4.3373	3.2045	3.11	4.0602	1.2773	2.0102	2.9019	3.6193	0.95138
MGMT	5.9284	5.8045	5.9661	5.9828	6.1787	5.8777	5.401	5.6787	5.9199	5.2951	5.9594	5.4192	5.9356	5.9793	6.3698
GLRX3	6.8039	6.4875	6.6077	6.3778	7.1687	6.5092	6.5055	6.4553	7.2384	6.8396	6.0895	6.328	6.266	6.6361	6.472
PPP2R2D	5.8302	5.9012	5.9452	5.895	6.6584	5.8095	5.9938	5.9794	6.2731	6.1801	5.8072	5.7867	5.8626	5.9057	5.8216
BNIP3	2.1971	2.5626	2.1378	2.2432	0	1.7833	1.091	2.6957	2.6653	2.4305	2.1889	2.6201	2.1193	2.2518	2.0936
LRRC27	1.6365	1.5545	1.8076	1.8031	0	1.394	1.091	1.4989	2.0191	0.70244	1.0481	1.7751	2.083	1.1727	2.0936
INPP5A	3.3618	4.0443	3.4333	4.2038	4.8863	2.0896	2.96	3.7849	3.0447	3.0921	3.8606	3.9291	2.6769	3.2899	2.723
CFAP46	1.5352	1.6761	2.6783	1.1666	0	2.1788	1.7051	1.4989	2.6653	2.7323	0.43931	0.38164	1.2646	0	1.2634
ADAM8	1.4262	1.8923	1.9262	1.8031	0	2.3421	2.7336	2.6957	2.6653	2.7323	1.944	1.3301	1.9684	1.5268	2.6172
TUBGCP2	6.1966	6.1233	6.0707	6.3561	6.6584	6.1499	6.0927	5.7042	5.9469	5.8443	6.1377	6.215	6.2271	6.1419	6.1503
ZNF511-PRAP1	3.6063	3.5024	3.2175	2.8529	0	3.2755	3.1557	2.8859	2.3781	2.7323	3.2811	3.1495	3.2516	3.3795	3.4945
FUOM	3.5811	3.3824	2.7007	1.1666	0	3.2345	3.4818	3.686	3.3449	3.4642	3.3582	3.4977	3.15	3.0918	2.9138
ECHS1	6.558	6.5244	6.2156	6.5019	6.5526	6.4068	6.3838	6.5284	6.3561	6.4727	6.5504	6.5448	6.2354	6.0077	6.6094
MTG1	5.9284	5.7605	5.8878	5.9542	5.1985	6.0172	5.8315	6.0606	6.215	5.9506	5.9133	5.8563	5.7398	6.0629	6.1119
BET1L	0.88257	1.5545	0.48552	1.8031	0	0.62547	0	0.93593	0.81833	0	1.2773	1.1449	1.1983	0.70235	0
RIC8A	5.4324	5.6084	5.5973	6.1183	6.0289	5.3344	5.2592	5.572	5.1745	5.0978	5.7748	5.6885	5.5535	5.4478	5.7732
PSMD13	6.966	7.0155	6.7525	7.0683	6.757	6.9907	6.9233	7.0986	7.461	7.2731	6.8443	7.072	6.7697	6.8937	6.8962
PGGHG	5.9775	6.0064	6.3023	5.9828	6.1787	5.8234	5.9938	5.7292	5.4637	5.921	5.9004	5.8025	6.0898	5.8122	5.88
ENSMMUG00000013256	10.53	10.212	10.237	10.709	10.612	11.494	11.572	11.545	11.679	11.518	11.081	11.558	11.009	11.652	11.201
ENSMMUG00000013257	7.2521	6.1286	7.3797	7.0137	7.369	10.778	10.647	10.456	10.925	10.728	9.1847	10.614	9.9182	10.864	9.5815
ENSMMUG00000003525	1.1798	1.8412	1.5363	0	0	1.2368	0.64627	1.9028	1.5402	1.527	2.2441	0.68316	1.7998	1.8109	0.95138
SIGIRR	7.3222	7.7299	7.342	7.7406	7.0178	6.8986	6.9825	7.0793	5.8259	6.5995	7.3405	6.9179	7.2748	6.4416	7.3814
PTDSS2	4.8394	4.7178	5.0048	4.4701	4.4874	4.7135	5.0536	4.8275	4.7524	4.7397	4.7155	4.7891	4.9184	4.869	4.7375
RNH1	7.3745	7.4132	7.016	7.5429	7.4886	6.9938	7.0269	7.3373	7.4827	7.5731	7.3515	7.5085	6.9667	7.1761	7.294
HRAS	5.5604	5.6122	5.1088	5.5564	6.1787	5.0571	5.2592	5.5155	5.2632	5.044	5.45	5.8563	5.3548	5.4684	5.6173
LRRC56	0.50775	1.0238	1.2018	0	0	0.85923	0	0	0.46642	0.70244	1.7284	0.93242	1.447	1.1727	2.0936
RASSF7	3.9786	4.1319	3.8583	3.9944	0	4.556	4.7845	4.7803	4.122	4.0602	4.9985	4.851	4.5709	4.4394	4.4291
PHRF1	5.4603	5.3634	5.6297	5.478	6.1787	5.8508	6.1046	5.8253	5.8642	6.217	5.7606	6.0923	5.6712	6.0629	6.0824
IRF7	4.4235	3.5667	4.0707	5.6666	3.9343	6.8383	6.8893	7.3373	7.5866	7.9586	5.947	7.3701	5.9533	7.1886	5.925
DRD4	2.1292	1.8923	1.7658	1.1666	0	2.4888	3.0612	3.2045	2.8292	4.0049	3.1426	3.7459	2.4103	3.3795	3.4945
DEAF1	5.7533	5.4512	5.5549	5.6308	4.8863	5.7306	5.743	5.4864	5.6061	5.406	5.6576	5.7385	5.6589	6.0217	5.6035
EPS8L2	2.5998	3.8894	3.7337	3.7494	0	2.3421	1.7051	2.6957	2.9764	1.8111	3.672	3.0475	3.3155	2.4303	2.379
TALDO1	7.0349	6.8428	6.6742	6.5978	6.1787	6.9051	6.714	6.8472	7.1088	7.2012	6.9289	6.8664	6.7597	6.9964	7.0464
SLC25A22	3.3911	3.4002	3.4465	2.8529	3.0257	4.0883	4.3771	3.8774	4.5082	4.3087	3.8428	4.8358	4.1651	4.3085	3.6094
PIDD1	3.0673	3.0413	3.0534	2.2432	0	3.3542	3.0612	3.4652	2.5758	2.9818	3.5011	3.0475	3.5057	2.8623	3.2332
RPLP2	10.074	9.6984	10.066	9.6665	10.305	10.453	10.28	9.6273	10.149	9.6688	9.479	9.2669	9.9506	10.033	9.8415
ENSMMUG00000020625	2.6491	2.6543	2.6325	3.2801	0	3.104	3.0612	2.8859	2.5758	2.5893	2.6232	2.3036	2.6274	2.4303	1.9264
CRACR2B	3.7935	3.5509	4.4986	3.0822	3.9343	4.0883	4.2109	2.6957	2.9047	2.252	3.6103	2.6201	4.49	3.6193	4.1917
CD151	8.0741	8.1016	7.7817	8.0561	7.9717	7.6703	7.924	7.8352	7.3774	7.3693	7.8481	7.8826	7.7436	7.7764	7.9567
ENSMMUG00000039027	2.9541	2.9954	2.6091	2.8529	3.0257	2.4173	3.0612	3.054	3.3981	2.5893	2.9566	3.0994	2.6769	2.7321	2.6172
TSPAN4	7.4232	7.6366	7.5049	7.7066	7.5449	7.6432	7.7831	7.8862	7.4765	7.6336	7.6256	8.0369	7.5961	7.7805	7.643
CHID1	5.7757	5.6461	5.7999	5.7356	6.1787	5.8777	5.6648	5.4264	5.5006	5.4686	5.947	5.6191	5.91	5.8282	6.0523
AP2A2	5.9383	5.6719	6.0729	5.5178	5.1985	6.1108	6.3342	5.8253	5.4761	5.3845	5.8612	6.0794	6.159	6.2764	5.9687
TOLLIP	6.0527	6.1963	5.6756	6.2181	6.0289	5.7158	6.1281	6.1925	5.4385	5.6597	5.988	6.2325	5.6151	5.7463	6.0624
MOB2	8.0094	7.7706	7.5223	7.8143	7.4886	7.8642	8.2258	8.218	7.5252	7.6291	7.9626	7.765	7.7631	7.6958	8.2029
DUSP8	2.6491	3.5187	1.8076	3.0822	3.9343	2.2627	3.3279	3.686	3.1724	3.2901	3.0213	2.9377	1.6088	2.5891	2.9138
ENSMMUG00000003874	7.7459	7.7842	7.8464	7.749	7.4886	8.5557	8.5982	8.1314	7.8646	7.5443	8.3589	8.1319	8.662	8.4106	8.475
SYT8	2.8312	2.1658	3.2329	1.1666	0	3.7237	3.2444	2.4765	2.149	0.70244	2.3486	2.0102	3.5595	2.8623	2.9138
TNNI2	3.7713	2.8987	4.6442	2.2432	0	4.9344	5.1019	3.3407	3.5468	3.1945	4.2461	3.6093	4.969	3.7595	4.46
LSP1	1.4262	1.7333	1.9262	1.1666	0	3.2345	2.7336	3.2045	2.149	2.4305	3.5458	3.1495	2.9225	2.0482	2.2433
MRPL23	6.4156	6.6279	6.2195	6.5019	6.0289	6.2199	6.4783	6.5567	6.0585	6.5129	6.7756	6.6398	6.2436	6.5421	6.6231
IGF2	8.5027	7.63	9.1531	7.3362	7.9301	10.344	10.084	8.2997	9.0807	7.8954	9.0737	8.3104	10.193	9.4888	9.9933
TH	3.4756	4.2044	1.6325	4.8272	3.0257	1.7833	2.8512	3.5798	0.81833	2.5893	4.089	3.2447	1.7998	0	3.8148
TSPAN32	1.5352	1.4896	1.4332	1.1666	3.0257	1.394	1.7051	1.4989	0	0.70244	1.5645	0	1.0559	1.1727	1.2634
CD81	10.647	10.601	10.413	10.722	10.33	10.498	10.685	10.688	10.478	10.337	10.67	11.038	10.519	10.863	10.773
TSSC4	6.0619	5.9503	5.7173	6.2421	6.5526	6.5682	7.0207	6.485	6.8613	6.618	5.8612	5.7788	5.731	5.9793	6.0421
KCNQ1	3.6793	3.5349	3.1378	2.8529	0	1.6649	1.4305	1.4989	1.7181	1.1728	2.0716	2.1147	2.3505	1.1727	1.7374
KCNQ1OT1-3	2.0579	2.7681	2.8682	2.58	0	2.6219	2.4649	0	1.8765	2.252	2.2441	1.4941	2.2559	2.2518	1.5198
CDKN1C	7.8164	7.7833	7.3068	7.7982	7.43	7.0392	7.511	7.563	6.3358	6.4727	8.6819	7.89	7.8958	7.428	8.5105
SLC22A18	0.50775	1.0238	0.67819	1.1666	0	0.85923	1.7051	2.4765	1.3373	1.527	1.2773	1.1449	1.3887	0.70235	1.2634
PHLDA2	1.9829	1.2754	1.0002	0	0	1.9945	3.0612	2.8859	3.11	2.4305	2.5374	2.3036	1.503	1.5268	1.7374
NAP1L4	6.6057	6.6241	6.6557	6.6162	6.6584	6.0172	5.6966	5.6787	6.0668	6.1292	6.4744	6.6529	6.5195	6.6542	6.4413
CARS	5.0833	4.6746	5.3186	4.5489	4.4874	6.717	6.6666	6.0001	7.2201	6.7584	5.0919	5.7946	6.262	6.4312	5.8335
OSBPL5	5.648	5.2308	5.5853	5.3951	5.6726	5.9743	5.9284	5.8483	6.0251	5.921	5.2754	5.4495	5.7222	5.796	5.5179
ZNF195	4.9811	4.7458	5.3892	5.2134	4.8863	5.285	4.9519	5.3638	5.3056	5.4271	4.8101	5.0619	5.2359	5.1495	5.2958
NADSYN1	4.072	4.0996	4.2482	4.6237	3.0257	4.5052	4.2543	5.0021	3.6817	3.825	4.436	4.2834	4.5243	4.5593	4.3975
DHCR7	3.1381	3.6873	3.1378	3.8771	0	2.8011	2.96	3.054	2.9764	2.8625	3.1996	2.8796	2.8809	3.1942	3.4335
ENSMMUG00000042113	1.3082	1.3504	2.0359	1.1666	3.0257	3.2345	3.6209	2.4765	2.6653	1.1728	1.2773	1.3301	1.9684	1.5268	2.503
CTTN	7.4702	7.4542	7.4606	7.4535	7.3053	7.4991	7.5287	7.549	7.5401	7.423	7.3734	7.3622	7.6232	7.5538	7.4752
PPFIA1	6.3648	6.4216	6.3294	6.3116	6.4384	6.188	6.1964	6.4095	6.2075	6.217	6.3728	6.2556	6.3428	6.3668	6.3117
ANO1	3.2056	3.7301	1.4856	3.0822	3.0257	0.85923	1.091	1.9028	0.46642	1.1728	1.3795	1.7751	0.62245	0.70235	0
ORAOV1	3.8152	3.5024	3.7228	3.2801	3.0257	2.9605	3.3279	3.3407	3.1724	3.4642	3.4074	3.5731	3.99	3.6911	3.5531
CCND1	10.108	8.9682	10.213	9.2041	10.619	7.1174	7.1583	6.9574	6.8941	6.8317	6.8488	6.6915	7.5378	7.6515	7.5236
TPCN2	5.6601	5.6122	5.6209	5.7015	6.0289	5.3148	5.2592	5.2645	3.805	4.5596	4.9905	4.8661	4.8171	4.5204	4.8586
MRGPRF	0.2761	1.3504	1.0002	1.1666	0	0.62547	0	0	0	0	1.3795	1.3301	1.1289	0	0.55273
ENSMMUG00000010128	2.324	2.4648	1.8482	2.58	0	2.5569	2.4649	1.9028	2.8292	2.7323	2.2973	2.3036	2.602	2.0482	2.0936
MRPL21	4.7742	4.4458	4.4333	4.6237	3.0257	3.5673	4.1662	3.8774	4.408	3.6913	4.043	4.3704	4.4044	4.2141	4.7375
CPT1A	5.9823	5.9977	5.8878	5.8015	5.6726	5.5914	6.0192	6.0606	5.5834	5.8908	5.839	6.2613	5.8356	5.7797	5.8452
GAL	2.8733	1.7882	1.3787	1.1666	0	2.8562	3.0612	3.054	3.9186	4.2623	1.1673	3.0994	2.3197	2.5891	2.0936
PPP6R3	5.678	5.9889	5.7895	6.0386	4.8863	5.3632	5.4944	5.6787	5.7461	5.5673	5.7701	5.7708	5.7743	5.8122	5.7976
LRP5	5.6419	4.8973	5.9216	5.1132	5.4549	6.1052	5.9284	5.572	5.3868	5.2951	5.2886	5.2343	6.1125	5.8122	5.7854
ENSMMUG00000019253	3.8578	4.5608	3.8179	4.5489	3.0257	3.8647	4.2543	4.5746	3.1724	2.9818	4.363	4.1907	3.7216	3.6911	4.1544
KMT5B	6.0435	6.2657	6.2368	6.3116	6.3144	5.3148	5.4762	5.2645	5.4385	5.4271	6.2089	6.3335	6.1415	5.9793	5.99
CHKA	2.5487	2.3956	2.9451	1.1666	3.0257	2.4888	1.7051	1.9028	2.7496	2.4305	2.4925	2.0102	2.7711	2.7321	2.503
TCIRG1	5.1704	5.6198	5.1172	5.5178	4.4874	6.4744	6.5233	7.1552	6.4346	6.9462	6.4917	7.0556	6.172	6.5028	6.251
ENSMMUG00000023189	6.6057	6.6577	6.4598	6.5019	5.4549	6.5474	6.6905	6.8923	6.3959	6.4522	6.7256	6.6616	6.3638	6.627	6.5242
ALDH3B1	1.8201	2.5307	2.293	2.2432	3.0257	0.85923	0.64627	1.4989	0.46642	0.70244	2.9232	2.6201	2.083	2.0482	1.9264
UNC93B1	3.7029	3.9749	3.9452	5.0603	3.0257	4.8555	4.9519	5.0021	4.5082	4.988	4.4478	5.6629	4.3896	4.5204	4.549
ENSMMUG00000042611	4.9321	5.2456	4.6442	5.261	3.9343	4.6051	4.7241	5.0021	3.5932	3.6913	4.6759	5.0086	4.6286	4.8996	5.0537
ENSMMUG00000018527	1.7312	1.9416	1.4856	1.8031	0	0.34637	1.7051	0	1.101	1.1728	1.475	1.3301	1.3887	1.5268	2.2433
NDUFV1	6.5645	6.5445	6.3701	6.482	6.1787	6.4963	6.4318	6.3782	6.185	6.4209	6.1984	6.4074	6.172	6.3447	6.4567
GSTP1	9.442	9.4768	9.182	9.5201	8.9893	9.1117	9.1721	9.1429	9.0613	9.1483	9.3746	9.33	9.0973	9.2747	9.3338
PITPNM1	1.4262	1.8412	1.0706	0	0	1.7833	1.7051	2.218	1.101	1.1728	2.1314	1.4941	1.328	1.1727	0.95138
AIP	7.0418	7.0068	6.7418	6.7885	6.4384	7.0744	7.1921	7.2534	7.1167	7.0108	6.9394	6.813	6.704	6.9533	6.9075
TMEM134	6.1841	6.2462	5.8976	5.9542	6.0289	6.2511	6.1964	6.3462	6.2731	6.4209	6.4687	6.453	6.1148	6.288	6.3117
CABP4	2.5998	2.5938	2.7227	2.2432	0	1.394	2.6055	3.054	1.8765	2.0483	3.0213	3.0475	2.1547	2.5891	3.0823
CORO1B	7.2279	7.1276	7.0469	7.1715	7.1687	7.4236	7.3801	7.4165	7.3165	7.3248	7.1673	7.283	7.1739	7.2493	7.0566
PTPRCAP	1.6365	2.2465	2.0359	0	0	2.4173	2.7336	2.218	1.7181	2.5893	1.8756	1.6414	1.8438	0.70235	1.7374
RPS6KB2	5.2284	5.2939	5.0491	4.6947	3.9343	5.2546	5.1939	4.9604	5.0303	5.0978	5.1724	5.0355	5.1332	4.8057	4.7872
ENSMMUG00000017278	3.9977	4.0667	3.8179	4.6947	5.1985	3.6937	3.3279	3.2045	3.4494	3.1945	4.0585	3.7781	3.878	4.0046	3.8619
RAD9A	1.0388	0.82776	0.92615	1.1666	0	0.85923	0.64627	0	1.101	1.1728	0.23631	1.1449	1.1289	0.70235	1.5198
CLCF1	3.6793	2.4306	3.5732	2.8529	0	2.5569	2.1344	1.9028	0.81833	1.1728	3.1132	1.4941	2.963	2.2518	2.503
SSH3	4.9617	4.9404	4.7173	5.0603	3.0257	4.8823	5.0536	5.3314	4.0901	4.5207	5.4849	5.4395	5.1639	4.8057	5.2958
ANKRD13D	4.6824	4.5289	4.7498	4.2981	3.0257	5.3537	5.078	4.5746	4.6018	4.0602	4.9495	4.8358	5.1288	4.8057	4.9915
GRK2	6.394	6.3412	6.6165	6.2888	5.1985	6.9815	6.9433	6.485	6.237	5.906	6.4715	6.4228	6.8077	6.6542	6.7537
KDM2A	6.86	6.7385	6.9924	6.5216	5.6726	7.2799	7.4043	7.1644	7.4453	7.1574	6.9352	6.8208	7.0838	6.9606	6.8906
RHOD	3.448	3.4351	3.2633	3.454	3.0257	3.1923	3.2444	3.2045	2.3781	2.9818	3.3073	2.7557	3.1846	3.4639	2.6172
PC	2.324	2.0355	2.1702	1.8031	0	2.1788	1.9357	2.4765	1.5402	2.252	2.2973	2.3894	2.1193	2.5891	1.7374
LRFN4	3.1031	3.1917	3.0534	2.8529	4.4874	2.3421	2.4649	2.6957	1.8765	2.4305	2.4925	2.6895	2.7248	2.0482	2.723
RCE1	4.912	4.8657	4.6499	4.8891	4.4874	4.4345	4.7546	4.8732	5.1745	4.6703	4.8282	4.6218	4.6096	4.773	4.9266
C11orf80	2.1292	2.4306	2.5112	1.1666	0	1.8928	2.3091	1.4989	2.5758	1.8111	2.7043	2.0102	2.3505	2.0482	2.2433
ENSMMUG00000010577	1.7312	1.1126	1.1377	1.8031	0	1.394	0.64627	1.9028	0.81833	0.70244	1.2773	1.3301	1.3887	0	1.2634
RBM14	2.7878	2.9718	3.1213	2.8529	3.0257	2.6219	2.4649	3.4652	1.8765	3.1945	2.7431	2.9377	3.0407	2.7321	2.9138
CCS	2.743	2.5626	2.6091	2.8529	0	1.7833	2.1344	2.4765	2.0191	1.527	2.4925	2.3894	2.5229	2.2518	2.0936
CTSF	1.4262	1.7882	1.5852	1.8031	3.0257	0.62547	1.091	0.93593	0.46642	0	1.6488	1.1449	1.1289	0.70235	1.5198
DPP3	4.3948	4.6892	4.5487	3.6093	3.0257	4.5223	4.6285	4.3345	4.3003	4.0602	4.5167	4.3275	4.5577	4.5204	4.3321
PELI3	2.0579	2.6836	0.92615	2.2432	0	1.0603	0.64627	2.218	1.7181	2.5893	1.944	1.7751	0.8117	1.1727	1.7374
ENSMMUG00000008876	6.8521	6.6797	6.66	6.4204	6.6584	6.5306	6.4506	6.3299	6.7117	6.2048	6.4423	6.328	6.4139	6.5324	6.5603
SLC29A2	1.8201	1.4896	1.6783	1.1666	0	1.394	1.9357	1.4989	1.3373	1.527	1.7284	1.4941	1.7998	0	0.55273
B4GAT1	4.1766	4.3394	4.1213	4.4701	4.4874	4.5223	4.2964	4.0464	3.0447	2.7323	4.2992	3.5359	4.1564	4.0046	3.9517
BRMS1	2.5998	2.3956	2.1378	1.1666	0	2.7438	1.9357	2.4765	2.149	2.5893	2.3486	2.0102	2.0458	2.0482	1.7374
RIN1	3.7489	3.7986	3.7658	4.1029	3.9343	4.341	4.2109	3.9644	3.3449	2.7323	4.2188	4.0658	4.2977	4.1132	4.1544
YIF1A	5.2605	5.4036	5.0271	5.478	4.8863	5.2443	5.5124	5.2983	5.1437	5.6597	5.4733	5.6629	5.3699	5.5861	5.2958
CNIH2	1.5352	0.71876	1.1377	1.1666	0	0.62547	0	0.93593	1.101	0.70244	0.61723	0.68316	0.8117	1.1727	1.2634
ENSMMUG00000031202	2.262	2.323	1.5852	3.0822	0	0.85923	1.091	0.93593	1.101	2.0483	2.1889	2.3894	2.1547	2.0482	1.7374
KLC2	4.3656	4.3668	4.6209	4.5489	3.0257	4.3216	4.6285	4.5182	3.9546	4.3087	4.089	4.0658	4.397	3.7595	4.116
PACS1	3.3319	3.9389	3.5972	3.9944	0	2.9093	2.96	3.2045	3.6381	3.825	3.7504	4.0395	3.6614	3.6911	3.5531
SF3B2	6.9611	6.9063	6.8077	6.722	6.4384	6.6327	6.6984	6.4702	6.7633	6.8077	6.8263	6.8169	6.6131	6.7243	7.0311
CST6	3.0673	3.3644	3.7337	3.6093	3.0257	1.5358	0	0	1.5402	1.527	2.0716	2.3036	2.4103	1.8109	1.2634
BANF1	8.5699	8.4686	8.2402	8.3428	8.5684	8.4205	8.3409	8.2487	8.7749	8.6459	8.3272	8.3564	8.2671	8.5108	8.5068
EIF1AD	4.5062	4.5998	4.1541	3.8771	3.0257	4.3216	4.3373	4.5746	4.7727	4.5974	4.5279	4.7409	4.2494	4.7052	4.6328
SART1	3.6063	3.4002	3.5972	3.8771	4.4874	3.8647	3.7477	3.5798	3.6817	3.8875	3.4314	3.2447	3.478	3.6193	3.1597
DRAP1	7.1614	7.0298	6.7698	7.0137	6.8493	6.9753	6.976	7.2006	7.2921	7.3856	7.0884	7.3136	6.7839	7.2961	7.0311
C11orf68	5.9133	5.8407	5.5762	6.011	5.6726	5.5669	5.5301	5.7042	5.1437	5.3845	5.9717	5.6629	5.6465	5.9208	5.8335
CCDC85B	8.6456	8.4759	8.1332	8.5959	8.8172	8.4897	8.5813	8.531	7.4262	7.4646	8.5749	8.6278	8.6132	8.3919	8.9953
FIBP	6.2851	6.2778	6.0447	6.2656	6.3144	6.053	6.0686	5.9794	6.1698	5.9938	6.3127	6.1549	6.0807	6.4725	6.2773
EFEMP2	4.4791	4.6964	4.4663	4.7625	3.9343	4.1558	4.6285	4.7803	3.6817	4.3087	4.6454	4.6394	4.2246	3.6911	4.4903
MUS81	5.3601	5.5096	5.5913	5.7015	5.8617	5.6315	5.4391	5.8483	5.5485	6.0079	5.5076	5.5555	5.6088	5.5284	5.2786
CFL1	9.991	9.8828	9.6803	9.9792	10.038	9.8638	9.9966	9.7608	10.025	9.7509	9.693	9.7998	9.6498	9.9631	9.859
SNX32	1.6365	1.9893	1.8878	0	0	1.394	1.4305	1.4989	0.81833	1.1728	0.9183	0	0.8117	1.1727	1.5198
AP5B1	2.4407	3.4177	2.5112	2.58	3.9343	2.3421	2.3091	2.4765	3.0447	2.8625	2.7431	2.6895	2.4956	2.2518	2.503
ENSMMUG00000019837	7.1422	7.1709	6.4449	6.9856	6.757	6.4388	6.714	6.5981	6.4969	6.6899	6.9948	6.8813	6.4393	6.627	7.0155
KAT5	5.3226	5.5814	5.3114	5.6666	5.6726	4.8419	5.2803	5.3314	5.4512	5.7125	5.4323	5.3778	5.1898	5.2948	5.2611
RELA	6.6274	6.7489	6.1378	6.5978	6.4384	6.7966	7.2468	7.4769	7.7439	8.084	7.0048	7.3648	6.4624	7.2845	6.9242
SIPA1	7.0579	7.0355	6.9901	6.9714	7.1687	6.6983	6.7523	6.9252	6.4024	6.4419	7.0128	7.0258	7.0895	7.0452	7.1871
