	AT1_Progenitor_Ctrl	Differentiating_AT2_Ctrl	AT2_Progenitor_Ctrl	AT1_AT2_Ctrl	AT1_Ctrl	Differentiating_AT1_Ctrl	AT2_Ctrl	Differentiating_AT1_LPS	AT2_LPS	Differentiating_AT2_LPS	AT1_LPS	AT2_Progenitor_LPS	AT1_AT2_LPS	AT1_Progenitor_LPS	AT2_Combo	AT1_Combo	Differentiating_AT1_Combo	AT1_Progenitor_Combo	Differentiating_AT2_Combo	AT1_AT2_Combo	AT2_Progenitor_Combo
PLXDC2	2.1346	2.1635	1.6952	1.9779	2.6601	3.2389	1.5512	0.7275	0.16825	0	0.45083	0	1.0118	0	0.9854	1.5819	2.4283	2.0666	1.4931	1.0569	1.2917
ENSMMUG00000042571	4.7243	4.6644	4.5474	5.2097	5.6816	4.8531	4.6113	5.0502	4.2336	4.7245	4.4043	4.3763	4.4724	3.3597	3.8969	4.7087	4.2695	4.0133	3.8562	3.9974	3.3465
NEBL	3.6858	3.1424	3.6935	3.5276	3.7458	4.0422	3.2554	2.9179	2.6311	3.5025	2.4335	2.3476	2.0176	0	2.2179	2.4856	3.3532	3.2883	3.0461	2.6786	2.6577
ENSMMUG00000018296	0	0	1.3174	0.79477	0.52947	0.55477	1.2503	0.7275	0.99243	0	1.5029	0	0.90396	2.4938	0.77621	0.54603	0.53942	0.84579	0	0.54897	0.56826
MLLT10	4.6286	5.7095	5.5625	5.3974	5.3698	5.7229	5.1598	5.5717	4.5779	5.3201	5.0406	4.8553	4.9769	4.2876	4.9592	5.4423	5.5895	4.5922	5.6735	5.1211	5.1207
DNAJC1	6.3343	6.0114	5.8506	6.533	6.9391	6.2396	6.184	5.6491	6.0619	5.8439	5.8906	5.2144	6.0391	4.2876	6.0662	6.3597	5.7841	5.7231	5.833	6.2334	5.6507
ENSMMUG00000000881	5.6967	5.1263	5.4189	5.829	5.8407	5.3853	5.7755	4.1739	5.252	4.7245	5.1931	4.7858	5.5148	5.936	5.6742	5.4923	5.3162	5.1079	5.4176	5.6238	5.4017
PIP4K2A	3.482	3.7202	3.7744	3.4966	3.5951	3.772	3.3364	3.2517	3.1159	3.1617	3.629	2.9665	3.0713	3.897	3.1439	3.5337	3.4953	4.0828	2.7998	3.1741	2.8144
MSRB2	4.8984	2.4195	3.0808	4.7917	4.9195	3.8207	4.304	1.5692	2.3098	0.8439	2.9945	1.6064	2.4597	3.3597	3.4796	4.1218	3.2652	4.2125	2.2896	3.4837	2.9999
OTUD1	3.2445	4.3319	3.851	3.9723	4.046	3.9134	4.4386	2.787	2.2734	1.3728	1.6785	1.8978	2.211	3.897	2.8551	3.037	2.7207	2.0666	3.295	3.2695	3.2027
KIAA1217	7.2308	7.2597	6.8567	7.2607	7.4069	7.3858	6.8092	6.5053	5.8493	5.9773	6.6015	5.8644	6.3112	5.4159	6.1752	7.2368	7.56	6.4045	6.8659	6.8674	6.3551
ENSMMUG00000010070	2.9602	1.4541	2.6375	2.0649	2.1129	1.5239	1.9099	0	1.8958	1.3728	1.0707	1.6064	1.4554	0	1.6082	1.5819	0.93114	2.0666	0.83011	1.2565	0.78585
ARHGAP21	2.1346	0	0.80414	1.1536	0.91593	1.2671	0.63373	2.3029	0.89983	3.0275	1.6785	2.5289	0.78743	0	1.2781	1.7226	2.1127	0.84579	2.745	2.0845	2.1307
PRTFDC1	4.1663	3.6217	3.6078	3.3995	3.9664	3.4393	2.8764	1.5692	1.0794	1.3728	2.1048	1.6064	1.6006	2.4938	1.805	2.4455	2.6179	3.2883	1.6202	2.234	0.97488
THNSL1	1.4306	1.4541	1.6952	3.1032	2.9356	2.5083	2.9296	2.4829	2.2734	0.8439	3.0595	1.6064	2.211	0	2.0103	2.7714	1.7732	1.762	1.1994	2.234	1.8699
APBB1IP	2.1346	1.4541	1.9944	0.57519	0.7356	1.1193	1.5512	1.2088	2.4139	1.3728	1.9762	1.8978	1.5299	2.4938	2.3748	0.54603	1.6396	2.7183	2.5026	1.4318	1.8699
PDSS1	2.6056	3.8124	3.5167	3.3309	3.2021	3.0476	3.0304	2.4829	2.542	3.5025	2.7802	3.0871	2.4212	0	2.8191	3.1658	3.5334	3.0313	3.6923	3.1239	2.8631
ABI1	4.814	5.0143	4.9814	5.1109	5.126	4.8992	5.1374	4.4584	4.8557	4.4374	4.8702	4.2783	4.9635	4.5947	4.7266	5.3312	4.5923	5.2355	4.6943	4.9941	4.6096
ENSMMUG00000016403	5.0538	5.5579	5.0802	5.2001	4.7397	5.4869	4.721	5.2374	4.0301	5.1367	4.656	3.9368	4.4147	4.5947	4.3891	4.6483	5.2829	4.4935	5.17	4.8928	4.5661
YME1L1	5.194	4.3929	4.8001	5.0048	4.7752	4.9217	4.7801	4.2751	5.0242	4.5881	5.0081	4.3763	5.1402	2.4938	4.8872	4.6125	4.8857	4.2125	4.7087	4.6572	4.3946
MASTL	2.1346	3.2779	3.2028	2.7821	2.0369	2.3842	2.6415	3.1488	2.742	2.7146	2.7802	1.6064	2.968	0	2.8008	2.3619	2.8473	2.8832	3.1759	2.7129	2.5428
ACBD5	4.5262	4.2682	3.993	4.601	4.7033	4.5113	4.2838	3.038	3.6725	2.8795	3.2383	3.3018	3.236	2.4938	3.8352	4.6483	4.1518	4.2125	4.1581	4.0113	3.8354
RAB18	4.2965	3.9809	4.2966	4.1619	3.9249	3.772	3.8317	4.1205	3.8188	3.6919	3.8652	3.0871	3.4619	4.8478	4.1276	4.22	3.8829	4.0828	4.0034	3.8814	4.1221
ENSMMUG00000045841	1.4306	0	0.80414	1.5653	0.7356	1.2671	0.86976	0	0.89983	1.3728	0	0	0.90396	2.4938	0.77621	0.38594	0.20305	0.84579	0	0.38813	0
MPP7	4.0232	2.6369	3.2028	4.1815	4.666	4.5977	3.9393	2.4829	1.8958	2.0634	3.0595	1.2408	1.4554	0	2.8191	3.8877	4.0502	3.8633	3.2167	3.5422	2.7118
ENSMMUG00000040316	0	0	0	1.3043	1.7819	0.76842	1.4086	0	1.5137	1.759	1.0707	1.2408	1.7943	2.4938	2.1616	1.155	0.812	0	1.1994	1.5121	1.7713
WAC	5.3817	5.1263	5.2873	5.0048	5.0411	5.4409	5.1374	4.9919	4.5704	4.6804	4.6768	4.8553	4.8002	4.2876	5.0705	5.0666	5.5759	5.2046	5.5983	5.0557	5.4017
BAMBI	5.9151	6.2933	6.6685	6.3372	4.5615	4.3043	7.1768	3.3478	5.6611	5.07	4.7767	5.4576	5.4635	5.063	6.8027	5.0797	4.0102	5.0042	5.9883	6.4348	6.3206
SVIL	4.8984	5.2303	4.5474	5.2841	5.6437	6.0787	4.0395	5.6301	3.7933	4.7245	4.9235	4.0598	4.3545	2.4938	3.5905	5.3035	6.1338	4.9679	4.6943	4.4178	4.102
JCAD	4.1663	2.6369	2.8009	1.7863	1.6857	2.4476	2.4363	1.5692	1.0794	1.3728	0	1.2408	0.1956	0	1.1681	0.9412	1.9529	2.0666	1.9456	0.82516	1.142
MTPAP	4.814	4.7131	4.2966	4.7529	4.9301	4.5113	4.736	5.0213	5.2092	5.07	5.2909	4.9538	5.4635	3.3597	4.9384	4.5852	4.3992	4.5437	5.0051	4.9871	4.5807
MAP3K8	3.482	4.7131	4.9469	4.6721	2.7098	3.4078	5.5221	6.0137	6.4587	6.3728	6.6124	6.5709	6.6421	6.2312	6.1097	4.9569	4.7706	4.3316	5.9824	5.7574	6.1692
ENSMMUG00000044214	1.4306	0.90301	0	1.9779	0.7356	1.4012	0.63373	1.8572	0.57992	0	1.9762	2.3476	0.36782	0	0.53146	0.54603	1.6396	0.84579	1.0265	0.54897	0.97488
ZNF438	2.1346	2.1635	1.6952	2.147	2.185	2.5083	2.7637	2.3029	2.1176	1.759	2.1048	2.1402	2.211	0	2.0727	2.8654	2.5819	3.0313	2.6881	2.6073	1.8699
ZEB1	5.3218	4.3319	3.7744	2.4992	2.7579	3.53	2.508	2.3029	1.2392	1.759	1.6785	2.69	1.9649	3.3597	1.805	1.8508	3.0451	4.5437	2.8525	1.5121	1.6655
ARHGAP12	5.1256	5.8467	5.2873	5.3635	5.6501	5.6372	5.0798	4.8998	4.3254	4.8087	4.4535	3.8023	4.2917	2.4938	4.9468	5.6192	5.8574	5.2657	5.4943	5.1776	5.0277
KIF5B	8.089	7.308	7.693	8.0882	8.1693	7.9288	7.9322	7.1159	7.8736	7.2632	7.7399	6.8434	7.815	7.9725	8.1066	8.2953	7.8262	7.9317	7.3987	8.3228	7.5308
EPC1	6.1399	7.1402	6.5356	6.6146	6.3717	6.3306	6.5579	6.2181	5.892	6.3019	6.2586	6.039	6.2186	6.0412	6.4497	6.4536	6.5421	6.2007	6.7525	6.6496	6.608
CCDC7	0	3.1424	2.6375	2.2984	2.2536	2.6764	2.3609	3.1488	1.6336	3.1617	1.835	1.6064	1.2059	0	2.103	2.024	3.4158	2.0666	3.5716	2.4932	2.9101
ENSMMUG00000009899	0	1.4541	0.80414	0.57519	0	0.55477	0	0.7275	0.69462	1.759	1.0707	0	0.52165	0	0.69915	0.54603	1.2389	0.84579	1.3537	0	0.97488
ENSMMUG00000017765	1.4306	2.4195	2.4533	1.5653	0.52947	1.637	0	1.5692	0.80087	0.8439	1.3029	0.74987	1.377	0	1.2242	1.155	2.1127	0	1.8451	1.4318	1.4274
ITGB1	8.1591	8.0141	7.6346	8.3071	8.652	8.315	8.0268	7.8892	7.866	7.7524	8.0525	6.7642	7.9825	6.0412	8.0939	8.5673	8.32	7.6858	7.8661	8.3571	7.3611
NRP1	7.5638	8.3657	7.7739	7.8502	7.5757	7.6909	8.016	6.4304	6.5125	6.8313	6.7167	6.039	6.5082	4.2876	7.3577	7.5576	7.6321	7.0152	7.5158	7.3804	7.0023
PARD3	5.6488	6.1415	6.0747	6.2655	6.1098	6.4004	5.8255	6.4522	5.2189	5.9404	5.6055	5.6263	5.6122	4.2876	5.2669	6.028	6.309	5.1731	5.9883	5.7072	5.587
CUL2	5.4392	4.7131	4.3504	4.6859	4.7516	4.7182	4.8915	4.6959	4.3779	4.5396	4.5242	3.9996	4.4245	4.2876	4.7022	4.9061	4.7053	4.7286	4.4424	4.6124	4.3268
CREM	4.8984	4.3319	4.1827	4.3469	4.3737	4.2342	4.2838	4.621	5.1701	5.07	4.9579	5.1327	5.1102	5.8225	4.8206	4.7829	4.565	4.3876	4.4931	4.9587	4.6655
CCNY	6.2077	5.1618	5.0802	6.3459	6.6453	5.9258	5.487	4.9919	5.3946	4.7672	5.9345	5.1043	5.7741	4.5947	5.29	6.3917	5.5575	5.6332	4.6049	5.8835	4.8091
ZNF33B	4.8984	4.6141	4.5006	4.0167	3.9249	4.0422	4.0151	3.5226	2.9867	3.778	3.2383	3.0871	2.8567	0	3.3966	4.0961	3.9266	3.6959	3.956	3.7551	3.5682
ENSMMUG00000004141	2.6056	3.2779	3.0808	2.4992	3.1669	2.6764	2.5763	3.1488	2.7944	2.5284	2.7802	2.3476	2.6386	2.4938	2.6656	2.7714	3.4758	2.5319	3.6027	3.0719	2.9101
ZNF248	3.2445	4.8928	4.3504	4.5716	4.5203	4.3382	4.6905	4.3697	3.9283	4.3835	4.2178	4.5117	4.0602	5.063	4.5012	4.48	4.6368	4.4415	4.8581	4.3862	4.3946
ENSMMUG00000001462	1.4306	1.4541	1.6952	1.5653	1.5827	1.8396	1.6809	1.8572	0.57992	0	0.45083	0	0.1956	0	0.69915	1.0521	1.5679	2.318	1.6202	1.1601	1.142
ZNF33A	4.0232	4.8499	4.3504	4.0383	4.4193	4.0215	4.1103	4.1205	3.1363	3.9362	3.4946	2.69	3.3012	0	3.7326	4.0961	4.5086	3.782	4.3898	3.9834	4.0608
ENSMMUG00000001239	1.4306	2.4195	2.6375	1.8853	1.7819	2.2484	1.5512	3.2517	1.8958	3.1617	2.2229	2.1402	2.211	0	1.7295	2.0774	1.8954	2.0666	1.3537	2.0845	1.8699
CSGALNACT2	3.8644	3.516	3.4195	3.0614	3.4563	3.4078	3.1696	2.4829	3.1959	3.778	2.5283	2.8349	2.6718	3.897	3.2422	3.2841	3.7756	2.5319	3.5073	2.9619	3.6537
RASGEF1A	2.9602	1.852	1.3174	2.147	2.4997	1.637	2.0121	1.5692	1.9886	1.3728	1.9762	1.6064	2.0176	2.4938	1.978	2.2732	1.7079	2.5319	1.6202	1.9177	1.6655
ENSMMUG00000003699	1.4306	0	1.9944	2.5604	2.185	1.7419	2.8764	1.8572	1.3829	0	1.6785	1.6064	1.6006	0	2.0727	1.7881	1.6396	2.0666	1.1994	1.7947	1.4274
HNRNPF	7.7458	6.4012	7.08	7.5631	7.5757	6.6532	7.6367	7.2525	8.3969	7.1222	8.557	7.9206	8.4811	8.6748	8.115	7.8423	6.8064	7.6346	6.6814	7.8943	7.3203
ZNF239	2.1346	1.4541	1.9944	2.3685	2.442	2.8739	2.4363	4.0651	3.478	3.5025	3.4946	4.0598	3.901	3.3597	3.2009	2.5246	2.5072	2.5319	3.663	3.3591	2.8144
ZNF485	2.1346	1.4541	2.6375	1.9779	2.4997	2.6764	1.9099	2.3029	2.0759	2.5284	2.4335	2.1402	2.2556	2.4938	2.0727	1.5819	1.9529	2.0666	2.6289	1.8575	2.8144
ZNF32	4.7243	3.4018	4.4523	4.4796	4.9509	4.1414	4.2423	3.2517	3.8188	3.2845	4.0036	3.73	4.1806	3.897	3.7707	4.2436	3.3317	4.2125	3.6027	4.1682	3.9525
RASSF4	4.1663	2.1635	3.4195	4.2574	4.2277	3.8445	3.6214	2.787	1.5137	1.3728	3.1216	1.6064	2.6386	3.3597	2.8551	4.5759	3.7434	4.2125	2.6289	3.6702	2.6577
C10orf10	6.4785	5.5036	4.7207	3.754	4.3737	4.9548	4.1557	5.6678	3.7408	5.5082	4.1299	4.4228	3.8143	6.1393	4.0287	4.0299	5.2023	7.0847	5.4522	3.5035	4.3268
ZNF22	6.9031	4.9345	5.8506	6.3502	6.626	5.4487	6.0642	4.6959	6.0962	3.6919	6.0104	5.3411	5.9436	6.7489	6.2086	6.1974	5.2432	6.2162	5.0844	6.2334	5.6368
ENSMMUG00000007426	4.0232	4.6141	4.3504	4.2939	4.2944	4.3548	4.3824	5.7226	4.4853	6.0826	4.9059	4.6356	4.6245	5.6993	4.6104	4.2782	4.5086	4.2125	4.7087	4.3755	4.4111
MARCH8	4.4159	4.1317	4.059	4.1815	4.3267	4.0827	4.0871	3.6027	3.3083	3.3976	3.8652	2.3476	3.3431	3.897	3.6934	4.5095	4.4399	4.1491	3.6332	4.1305	3.8834
ZFAND4	0	2.4195	1.6952	1.9779	1.6857	2.3842	2.1075	2.3029	2.3454	3.0275	1.835	0.74987	1.377	0	2.3994	2.024	2.545	1.762	3.0001	1.7291	2.5428
ENSMMUG00000044279	2.1346	1.852	1.6952	1.7863	2.185	2.0172	0.35139	3.038	0.45531	0.8439	1.835	0.74987	1.0118	0	0.77621	1.3412	2.2565	1.762	1.6202	0.94567	0.78585
ENSMMUG00000021539	5.1256	5.3273	4.9469	5.2001	5.2655	5.2761	5.056	4.4147	4.4693	3.8593	4.6348	3.654	4.5988	4.5947	4.6417	5.1747	5.4716	4.7286	4.7921	4.9443	4.0398
ENSMMUG00000013446	8.3808	2.1635	4.2408	7.8548	9.0606	7.3878	4.304	3.8847	0.99243	0	5.2358	0.74987	3.5178	2.4938	1.6498	6.8176	5.7276	5.868	1.1994	4.6305	2.0489
ENSMMUG00000007947	0	2.1635	1.6952	1.3043	1.0762	1.8396	1.6809	2.9179	1.3128	2.5284	0.79382	2.1402	1.377	0	1.7677	1.4259	1.8954	1.3755	2.3641	1.6603	2.0489
GDF10	1.4306	0.90301	0.80414	0.31607	0.52947	1.1193	0.35139	0.7275	0	1.759	1.0707	0.74987	0.1956	0	0.9854	0.82112	0.93114	2.318	1.1994	0.54897	0.97488
ENSMMUG00000041169	2.9602	3.6217	3.2028	3.2215	3.1669	3.5874	2.9809	3.4378	3.1363	2.7146	3.0595	3.0871	3.258	0	3.2691	3.141	3.1223	3.2883	3.295	3.0981	2.6014
ARHGAP22	2.1346	0	0.80414	1.9779	3.0169	2.0172	0.86976	0	0.16825	0	0	0	0	0	0	0.54603	0.812	0.84579	0.33259	0.20708	0
ERCC6	3.2445	3.8124	3.6935	3.6452	3.6724	4.2342	2.9296	3.2517	2.236	3.1617	2.5283	2.5289	2.2988	0	2.4473	3.1658	4.2119	2.5319	3.749	2.9035	3.125
PGBD3	2.1346	2.8257	2.242	2.4353	2.7098	2.4476	2.6415	1.2088	1.7442	1.759	2.1048	1.8978	2.0685	0	2.3748	2.0774	2.7854	2.0666	2.2896	1.9755	2.2815
OGDHL	2.6056	5.8024	5.1424	4.2388	3.5684	5.2318	4.1332	4.2254	1.5137	0.8439	2.332	1.8978	2.2556	0	2.3244	3.9026	4.1761	3.8633	2.5026	3.1239	2.9999
PARG	4.2965	4.2682	4.2966	3.8551	3.6973	4.252	3.6847	3.7506	2.9867	3.6919	3.4468	3.4886	3.2136	3.3597	3.4088	3.7629	4.164	4.0133	4.0034	3.523	3.6258
TIMM23	1.4306	0	0	0.79477	1.3516	1.2671	0.86976	1.2088	1.9886	2.0634	1.6785	1.2408	1.6681	3.3597	1.8767	1.654	2.1127	1.762	1.8451	1.1601	1.6655
NCOA4	5.8317	5.5579	5.5851	6.3929	6.2039	5.8339	5.9401	4.9312	5.4364	5.1037	5.9083	4.5542	5.6122	5.8225	5.3543	6.1263	5.3325	5.7231	4.7229	5.6148	4.8935
GPRIN2	4.7243	2.1635	2.9477	4.0597	4.6533	3.6694	3.0304	2.643	3.9166	2.5284	4.246	3.4886	3.236	3.897	4.4255	4.7504	4.0502	4.4415	3.6027	4.2406	4.0608
ENSMMUG00000013441	3.482	2.4195	3.2028	3.0185	3.8822	4.0827	2.7637	1.2088	1.1615	1.3728	1.5029	1.6064	0.52165	0	2.6035	2.982	3.3099	2.8832	3.1759	2.9619	2.6014
FAM35A	2.6056	2.6369	2.6375	2.2247	2.8932	3.8678	2.4363	3.4378	2.715	3.6003	2.9266	3.1984	2.8275	3.3597	2.8191	3.2143	3.5889	2.7183	3.7766	2.8114	3.3119
ENSMMUG00000022075	5.1256	4.3319	3.4195	4.8044	5.0794	4.4195	4.4926	3.6785	4.3075	3.778	4.852	3.9996	4.6414	3.897	4.6261	5.0059	4.499	4.7713	3.663	4.8548	3.7858
ENSMMUG00000043246	2.1346	0.90301	0.80414	0.57519	0	1.7419	0	1.5692	0.16825	0.8439	1.3029	0.74987	0.1956	0	0.61774	0.54603	0.93114	0	1.1994	0.82516	0.56826
ENSMMUG00000016282	1.4306	3.8124	2.9477	1.7863	1.6857	2.5665	2.8212	2.787	2.236	3.3976	1.5029	2.3476	2.0176	0	2.4473	2.1289	2.653	1.762	2.7998	1.9177	1.5514
ENSMMUG00000030573	2.6056	1.4541	2.4533	2.147	2.7579	2.2484	0.86976	0	0.16825	0	0	0	0.1956	0	0.23653	0.9412	1.3284	1.3755	0.33259	1.0569	0.56826
ENSMMUG00000011852	3.6858	4.1317	3.6935	3.465	3.3027	3.772	3.3364	2.4829	1.5749	2.3145	1.9762	2.1402	1.7943	0	2.19	3.037	3.7596	2.7183	3.0001	2.5323	2.8144
ENSMMUG00000044598	0	3.8124	3.4195	3.0185	2.8495	3.4078	3.1696	3.038	2.3454	3.5025	2.6172	2.69	2.534	2.4938	2.9744	2.5246	3.2191	2.5319	3.6923	2.7793	3.7344
LDB3	0	0	0.80414	1.1536	1.2204	1.8396	1.5512	0.7275	1.2392	2.0634	1.0707	0.74987	1.294	0	0.9854	0.82112	0.93114	1.762	1.737	0.69367	0.97488
WAPL	5.1256	6.0307	5.774	5.275	5.4155	5.546	5.598	5.6678	5.3988	5.9954	5.5158	5.1043	5.35	5.2502	5.4456	5.3957	5.7682	5.4611	6.1603	5.3567	5.2174
CCSER2	5.5992	5.3273	4.9814	5.8352	6.2297	5.9588	5.4236	5.1334	5.0621	5.2615	5.3044	4.9217	5.3293	4.5947	5.2702	5.8322	5.6075	5.1409	5.575	5.3675	4.8817
ENSMMUG00000004545	10.628	8.6882	10.156	10.478	10.572	9.4134	10.425	8.6068	10.21	8.4445	10.313	10.119	10.324	10.732	10.279	10.411	9.2698	10.566	9.0182	10.389	10.298
GHITM	7.3704	5.8247	6.3633	7.306	7.5857	6.5341	6.9859	5.9385	7.5969	5.5819	7.5007	6.6415	7.5558	7.7421	7.381	7.5693	6.1675	7.2525	5.6881	7.3479	6.6293
TSPAN14	5.1256	5.2957	5.5162	5.5257	5.2148	4.9548	6.0523	5.0213	6.7794	6.0826	5.8995	5.7952	6.4277	4.5947	6.8513	5.7849	5.3325	5.9447	6.0962	6.2452	6.069
FAM213A	5.0538	3.9809	4.2966	4.3813	4.575	4.1414	4.675	3.038	4.2802	3.5025	4.0036	3.9996	4.2372	4.5947	4.6823	4.5095	4.0763	4.7286	3.7209	4.287	4.1615
ANXA11	7.3555	6.1236	6.6685	7.3651	7.7086	6.8826	6.7101	6.4737	6.8722	5.9954	7.2971	6.5709	7.0848	6.6189	6.5228	7.3291	6.5699	6.9139	5.8845	7.0381	6.2261
PLAC9	2.9602	1.852	0	0.79477	0.91593	2.0172	0.35139	0.7275	0.31891	0	0.79382	0	0.36782	2.4938	0.9854	1.2511	1.1434	3.1655	1.0265	0.38813	0.97488
TMEM254	4.6286	3.4018	4.2408	4.4148	4.0653	3.4078	4.5784	1.8572	3.7803	3.1617	3.7121	3.1984	3.5178	2.4938	4.1782	3.9026	2.9354	3.8633	3.3326	4.1557	3.5973
SFTPD	10.444	12.44	12.472	11.725	7.2644	7.8577	13.165	10.608	13.148	12.46	11.729	12.654	12.62	12.189	13.314	10.645	10.216	11.688	12.356	12.415	12.699
ENSMMUG00000002786	3.2445	4.9345	4.5927	3.6732	0.28889	1.1193	5.1261	2.787	6.6396	5.5819	3.7907	5.8644	5.7195	4.5947	7.2032	3.1903	2.345	4.8924	5.9824	5.7656	6.4011
SFTPA1	4.5262	6.3712	6.31	4.8541	0.52947	0.76842	7.115	2.9179	7.5337	6.53	3.5408	6.039	6.1641	5.8225	7.7037	2.2732	2.1622	5.1731	6.499	5.6373	6.5273
ENSMMUG00000040590	1.4306	4.5619	4.5474	2.6755	0	0	5.2462	1.5692	5.8211	4.8883	2.6172	4.3763	4.723	3.897	5.9588	1.3412	1.3284	3.5064	4.6651	3.9834	4.784
ZCCHC24	2.6056	2.8257	2.242	1.4407	2.3819	2.7284	2.2813	1.5692	0.80087	0.8439	1.0707	1.2408	0.66065	0	1.2781	1.2511	2.0081	3.9402	2.435	1.4318	1.6655
ZMIZ1	3.2445	2.9927	2.8009	2.0649	2.5552	3.088	1.9099	2.3029	0.80087	0.8439	0.79382	1.6064	0.90396	0	0.9854	1.506	2.4283	2.7183	1.4931	1.4318	0.97488
RPS24	10.123	9.3861	10.307	10.041	9.8709	9.9306	10.056	9.267	9.8696	9.3505	9.8772	10.101	9.8416	10.596	9.937	9.8945	9.5937	10.274	9.58	9.986	10.215
POLR3A	2.9602	4.2016	3.851	3.5579	3.7927	3.5589	3.1696	3.6785	2.7944	3.778	3.2383	2.8349	3.096	0	3.1727	3.7465	4.037	2.7183	4.1581	3.2463	3.5973
DLG5	2.1346	2.9927	1.9944	2.147	1.9568	2.7786	1.8	2.0972	1.2392	2.0634	1.9762	2.1402	1.377	0	1.2781	2.0774	2.5819	2.0666	2.435	1.7291	1.8699
VDAC2	8.0433	5.8467	6.9897	7.9349	8.1793	6.6831	7.801	6.4737	8.0803	6.1964	8.0604	7.308	8.0274	8.2609	7.9287	8.0114	6.4897	7.5994	6.0741	8.0427	7.0738
COMTD1	2.1346	1.4541	2.9477	3.1437	3.8381	2.827	3.0304	3.1488	4.2145	3.5025	4.1299	3.73	4.1921	3.3597	3.7987	3.4552	2.8772	3.6959	3.4051	3.6348	3.5386
ZNF503	6.1399	6.1236	5.9233	5.9076	4.9917	5.0292	5.8185	5.4898	5.8243	5.3485	6.3458	5.9779	6.1959	6.1393	5.9752	5.74	5.5008	5.6562	5.738	6.044	6.1546
LRMDA	4.6286	3.8124	4.8001	4.1015	3.3027	3.1272	4.5784	3.9474	5.1502	4.0788	5.1036	4.7497	5.1343	6.0412	4.9468	4.971	3.9966	4.9679	3.9799	4.8079	4.5513
SAMD8	0	1.4541	1.3174	0.57519	0.52947	1.5239	0.86976	2.0972	1.0794	1.759	0.79382	1.6064	1.1121	0	0.77621	1.4259	1.9529	1.3755	1.3537	0.94567	1.5514
KAT6B	5.994	6.2278	6.0906	5.7848	5.4814	5.7101	5.8806	5.4898	4.8802	5.4569	4.547	4.821	4.9902	4.8478	5.2669	5.3799	5.9163	5.3806	6.1339	5.1714	5.4181
ADK	2.6056	2.1635	2.6375	2.6191	2.3819	2.5665	2.8764	3.1488	2.5723	2.0634	2.2229	2.5289	2.211	2.4938	2.1326	2.5625	2.5072	3.0313	2.745	2.6786	2.2081
AP3M1	5.0538	4.3929	4.5474	5.0694	5.3698	4.731	4.9442	4.1205	4.4118	3.0275	4.6768	3.4886	4.528	4.8478	4.5293	4.5095	3.5889	4.9679	3.6923	4.5184	3.9068
VCL	5.5992	4.6644	4.5006	5.2474	5.6114	5.6507	4.6905	5.0785	4.6997	4.8883	5.6055	4.5955	5.0858	2.4938	4.5404	5.1685	5.1419	4.9679	4.7921	4.7261	4.5661
CAMK2G	4.6286	3.516	3.993	4.2574	4.2447	3.7966	4.1557	1.5692	2.7684	2.3145	2.701	1.6064	2.6045	2.4938	4.2201	4.5478	3.8531	3.6043	3.6027	4.2288	3.3119
NDST2	3.2445	3.1424	3.3152	3.1032	3.2021	3.2389	2.8764	3.038	2.941	2.7146	3.3464	2.9665	2.968	4.2876	3.0539	2.982	2.9913	2.8832	3.2564	3.0981	2.9557
ZSWIM8	4.2965	5.3273	5.4189	5.1211	4.9509	5.5747	4.6435	5.9841	5.3775	6.2274	5.6271	5.3166	5.6377	4.2876	5.0705	5.1747	5.8536	4.8128	5.9158	5.0422	5.3599
FUT11	1.4306	1.852	1.9944	1.3043	3.0169	2.7284	1.9099	2.4829	2.715	3.0275	3.3464	2.3476	2.7043	4.2876	2.8902	3.1903	2.653	2.318	2.9525	3.2463	2.9999
SEC24C	2.1346	2.8257	2.242	2.2247	1.872	2.0985	2.197	3.2517	2.742	3.2845	2.9266	1.2408	2.6045	2.4938	2.6035	2.3182	2.545	1.762	3.3693	2.4932	2.0489
SYNPO2L	4.1663	2.6369	1.6952	4.7265	4.8875	4.8763	1.5512	1.2088	0.57992	0.8439	1.0707	1.6064	1.2059	0	0.9854	2.8347	2.6179	2.318	0.60269	1.7291	1.142
MYOZ1	4.8984	2.1635	1.9944	4.9714	5.5027	4.9871	2.7039	1.2088	1.2392	0	2.8552	1.6064	1.6006	2.4938	1.4759	3.6962	2.6179	3.2883	0.33259	2.9902	1.6655
USP54	5.0538	7.6329	7.0958	6.4261	5.7838	6.4783	6.6716	6.855	6.1847	6.9566	6.5346	6.4856	6.3296	4.2876	6.2615	6.3943	7.0513	5.562	7.3237	6.5414	6.8293
U6.792	0	1.4541	0.80414	0.31607	0.28889	0.76842	1.2503	2.0972	1.2392	1.3728	1.5029	1.2408	1.1121	0	0.69915	1.3412	1.2389	0	1.6202	1.2565	1.2917
PPP3CB	4.8984	4.7131	4.1827	4.914	4.8657	4.8175	4.5616	4.2751	4.3949	4.1451	4.4043	4.3763	4.5988	3.897	4.4898	4.6658	4.7301	4.4415	4.6943	4.5661	4.6378
ANXA7	6.1399	5.531	5.9055	6.2746	6.6031	5.7165	6.5107	5.7046	7.2388	5.4828	7.3467	6.5074	7.1989	7.6453	6.7499	6.8018	5.5621	6.7093	5.241	6.654	5.8206
